req1,req2,label
the current operational status shall be indicated to the driver on the dmi,the dmi shall indicate the result of the selftest,1
isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,the etcs trainborne equipment shall transmit its own train identification to the rbc,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
the dmi shall indicate the result of the selftest,operation of the train trip shall be indicated on the dmi,1
when the train passes the stop signal the train trip function shall be suppressed,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
the entry of driver identification and the selection of the language shall be possible,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the driver shall be able to select train data entry on the dmi,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
it shall be possible to apply the train trip function if the shunting movement passes a signal showing danger for shunting,when the train passes the stop signal the train trip function shall be suppressed,0
the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,the etcs onboard shall be capable of receiving information about pantograph and power supply from the trackside,1
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,0
the roll awayreverse movement intervention shall be indicated on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1
the etcs onboard shall be capable of receiving national values from the trackside to adapt to national requirements,the etcs onboard shall be capable of receiving information about pantograph and power supply from the trackside,1
the trackside shall be able to send information for the calculation of speed profiles,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,0
the current operational status shall be indicated to the driver on the dmi,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
when a traction unit passes a stopsignal the emergency brake shall be triggered,the emergency brake shall be applied until the traction unit is stationary,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
the driver shall be able to consult train data when the train is stationary or moving,when the train passes the stop signal the train trip function shall be suppressed,0
the driver shall be able to release an etcs emergency brake application when stationary,the driver shall be able to override the function when the train is stationary,0
the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,0
this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,a special indication shall be shown on the dmi,1
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,after the acknowledgement the driver shall be able to continue the movement,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,when the train passes the stop signal the train trip function shall be suppressed,0
the etcs onboard shall be capable of receiving national values from the trackside to adapt to national requirements,the etcs onboard shall be capable of sending to the trackside train integrity information detected by a system outside etcs,1
partial supervision shall be indicated on the dmi,a special indication shall be shown on the dmi,1
actual speed shall be indicated on the dmi,a special indication shall be shown on the dmi,1
a special indication shall be shown on the dmi,route unsuitability shall be indicated on the dmi,1
